strategy,scoring,seed,pts,rank
default,var,0,69,1
default,var,1,69,1
default,var,2,69,1
default,var,3,69,1
default,var,4,69,1
default,var,5,69,1
default,var,6,69,1
default,var,7,69,1
default,var,8,69,1
default,var,9,69,1
default,vona,0,67,1
default,vona,1,67,1
default,vona,2,67,1
default,vona,3,67,1
default,vona,4,67,1
default,vona,5,67,1
default,vona,6,67,1
default,vona,7,67,1
default,vona,8,67,1
default,vona,9,67,1
nonzero_sv,var,0,63,2
nonzero_sv,var,1,63,2
nonzero_sv,var,2,63,2
nonzero_sv,var,3,63,2
nonzero_sv,var,4,63,2
nonzero_sv,var,5,63,2
nonzero_sv,var,6,63,2
nonzero_sv,var,7,63,2
nonzero_sv,var,8,63,2
nonzero_sv,var,9,63,2
nonzero_sv,vona,0,65,2
nonzero_sv,vona,1,65,2
nonzero_sv,vona,2,65,2
nonzero_sv,vona,3,65,2
nonzero_sv,vona,4,65,2
nonzero_sv,vona,5,65,2
nonzero_sv,vona,6,65,2
nonzero_sv,vona,7,65,2
nonzero_sv,vona,8,65,2
nonzero_sv,vona,9,65,2
three_closers,var,0,57,5
three_closers,var,1,57,5
three_closers,var,2,57,5
three_closers,var,3,57,5
three_closers,var,4,57,5
three_closers,var,5,57,5
three_closers,var,6,57,5
three_closers,var,7,57,5
three_closers,var,8,57,5
three_closers,var,9,57,5
three_closers,vona,0,63,2
three_closers,vona,1,63,2
three_closers,vona,2,63,2
three_closers,vona,3,63,2
three_closers,vona,4,63,2
three_closers,vona,5,63,2
three_closers,vona,6,63,2
three_closers,vona,7,63,2
three_closers,vona,8,63,2
three_closers,vona,9,63,2
no_punt,var,0,66,1
no_punt,var,1,66,1
no_punt,var,2,66,1
no_punt,var,3,66,1
no_punt,var,4,66,1
no_punt,var,5,66,1
no_punt,var,6,66,1
no_punt,var,7,66,1
no_punt,var,8,66,1
no_punt,var,9,66,1
no_punt,vona,0,63,2
no_punt,vona,1,63,2
no_punt,vona,2,63,2
no_punt,vona,3,63,2
no_punt,vona,4,63,2
no_punt,vona,5,63,2
no_punt,vona,6,63,2
no_punt,vona,7,63,2
no_punt,vona,8,63,2
no_punt,vona,9,63,2
no_punt_opp,var,0,63,2
no_punt_opp,var,1,63,2
no_punt_opp,var,2,63,2
no_punt_opp,var,3,63,2
no_punt_opp,var,4,63,2
no_punt_opp,var,5,63,2
no_punt_opp,var,6,63,2
no_punt_opp,var,7,63,2
no_punt_opp,var,8,63,2
no_punt_opp,var,9,63,2
no_punt_opp,vona,0,59,3
no_punt_opp,vona,1,59,3
no_punt_opp,vona,2,59,3
no_punt_opp,vona,3,59,3
no_punt_opp,vona,4,59,3
no_punt_opp,vona,5,59,3
no_punt_opp,vona,6,59,3
no_punt_opp,vona,7,59,3
no_punt_opp,vona,8,59,3
no_punt_opp,vona,9,59,3
no_punt_stagger,var,0,68,1
no_punt_stagger,var,1,68,1
no_punt_stagger,var,2,68,1
no_punt_stagger,var,3,68,1
no_punt_stagger,var,4,68,1
no_punt_stagger,var,5,68,1
no_punt_stagger,var,6,68,1
no_punt_stagger,var,7,68,1
no_punt_stagger,var,8,68,1
no_punt_stagger,var,9,68,1
no_punt_stagger,vona,0,65,1
no_punt_stagger,vona,1,65,1
no_punt_stagger,vona,2,65,1
no_punt_stagger,vona,3,65,1
no_punt_stagger,vona,4,65,1
no_punt_stagger,vona,5,65,1
no_punt_stagger,vona,6,65,1
no_punt_stagger,vona,7,65,1
no_punt_stagger,vona,8,65,1
no_punt_stagger,vona,9,65,1
no_punt_cap3,var,0,64,1
no_punt_cap3,var,1,64,1
no_punt_cap3,var,2,64,1
no_punt_cap3,var,3,64,1
no_punt_cap3,var,4,64,1
no_punt_cap3,var,5,64,1
no_punt_cap3,var,6,64,1
no_punt_cap3,var,7,64,1
no_punt_cap3,var,8,64,1
no_punt_cap3,var,9,64,1
no_punt_cap3,vona,0,66,1
no_punt_cap3,vona,1,66,1
no_punt_cap3,vona,2,66,1
no_punt_cap3,vona,3,66,1
no_punt_cap3,vona,4,66,1
no_punt_cap3,vona,5,66,1
no_punt_cap3,vona,6,66,1
no_punt_cap3,vona,7,66,1
no_punt_cap3,vona,8,66,1
no_punt_cap3,vona,9,66,1
avg_anchor,vona,0,62,2
avg_anchor,vona,1,62,2
avg_anchor,vona,2,62,2
avg_anchor,vona,3,62,2
avg_anchor,vona,4,62,2
avg_anchor,vona,5,62,2
avg_anchor,vona,6,62,2
avg_anchor,vona,7,62,2
avg_anchor,vona,8,62,2
avg_anchor,vona,9,62,2
closers_avg,vona,0,66,1
closers_avg,vona,1,66,1
closers_avg,vona,2,66,1
closers_avg,vona,3,66,1
closers_avg,vona,4,66,1
closers_avg,vona,5,66,1
closers_avg,vona,6,66,1
closers_avg,vona,7,66,1
closers_avg,vona,8,66,1
closers_avg,vona,9,66,1
balanced,var,0,67,1
balanced,var,1,67,1
balanced,var,2,67,1
balanced,var,3,67,1
balanced,var,4,67,1
balanced,var,5,67,1
balanced,var,6,67,1
balanced,var,7,67,1
balanced,var,8,67,1
balanced,var,9,67,1
balanced,vona,0,68,1
balanced,vona,1,68,1
balanced,vona,2,68,1
balanced,vona,3,68,1
balanced,vona,4,68,1
balanced,vona,5,68,1
balanced,vona,6,68,1
balanced,vona,7,68,1
balanced,vona,8,68,1
balanced,vona,9,68,1
anti_fragile,var,0,53,7
anti_fragile,var,1,53,7
anti_fragile,var,2,53,7
anti_fragile,var,3,53,7
anti_fragile,var,4,53,7
anti_fragile,var,5,53,7
anti_fragile,var,6,53,7
anti_fragile,var,7,53,7
anti_fragile,var,8,53,7
anti_fragile,var,9,53,7
anti_fragile,vona,0,48,10
anti_fragile,vona,1,48,10
anti_fragile,vona,2,48,10
anti_fragile,vona,3,48,10
anti_fragile,vona,4,48,10
anti_fragile,vona,5,48,10
anti_fragile,vona,6,48,10
anti_fragile,vona,7,48,10
anti_fragile,vona,8,48,10
anti_fragile,vona,9,48,10
