Name,Team,G,PA,AB,H,HR,R,RBI,SB,AVG,MLBAMID
Marcus Semien,Rangers,161,724,657,163,26,101,83,25,0.248,543760
Freddie Freeman,Dodgers,159,708,612,199,21,117,100,13,0.325,518692
Trea Turner,Dodgers,160,708,652,194,21,101,100,27,0.298,607208
Vladimir Guerrero Jr.,Jays,160,706,638,175,32,90,97,8,0.274,665489
Francisco Lindor,Mets,161,706,630,170,26,98,107,16,0.27,596019
Matt Olson,Braves,162,699,616,148,34,86,103,0,0.24,621566
Bo Bichette,Jays,159,697,652,189,24,91,93,13,0.29,666182
Aaron Judge,Yankees,157,696,570,177,62,133,131,16,0.311,592450
Dansby Swanson,Braves,162,696,640,177,25,99,96,18,0.277,621020
Austin Riley,Braves,159,693,615,168,38,90,93,2,0.273,663586
Pete Alonso,Mets,160,685,597,162,40,95,131,5,0.271,624413
José Ramírez,Guardians,157,685,601,168,29,90,126,20,0.28,608070
Jake Cronenworth,Padres,158,684,587,140,17,88,88,3,0.239,630105
José Abreu,Sox,157,679,601,183,15,85,75,0,0.304,547989
Brandon Nimmo,Mets,151,673,580,159,16,102,64,3,0.274,607043
Rhys Hoskins,Phillies,156,672,589,145,30,81,79,2,0.246,656555
Cedric Mullins,Orioles,156,672,608,157,16,89,64,34,0.258,656775
Christian Yelich,Brewers,154,671,575,145,14,99,57,19,0.252,592885
Amed Rosario,Guardians,153,670,637,180,11,86,71,18,0.283,642708
Kyle Schwarber,Phillies,155,669,577,126,46,100,94,10,0.218,656941
Christian Walker,Diamondbacks,160,667,583,141,36,84,94,2,0.242,572233
Shohei Ohtani,Angels,157,666,586,160,34,90,95,11,0.273,660271
Juan Soto,Padres,153,664,524,127,27,93,62,6,0.242,665742
Corey Seager,Rangers,151,663,593,145,33,91,83,3,0.245,608369
Jurickson Profar,Padres,152,658,575,140,15,82,58,5,0.243,595777
Adolis García,Rangers,156,657,605,151,27,88,101,25,0.25,666969
Alex Bregman,Astros,155,656,548,142,23,93,93,1,0.259,608324
Paul Goldschmidt,Cardinals,151,651,561,178,35,106,115,7,0.317,502671
Josh Bell,Padres,156,647,552,147,17,78,71,0,0.266,605137
Anthony Santander,Orioles,152,647,574,138,33,78,89,0,0.24,623993
Randy Arozarena,Rays,153,645,586,154,20,72,89,32,0.263,668227
Nathaniel Lowe,Rangers,157,645,593,179,27,74,76,2,0.302,663993
Manny Machado,Padres,150,644,578,172,32,100,102,9,0.298,592518
Alex Verdugo,Sox,152,644,593,166,11,75,74,1,0.28,657077
Ian Happ,Cubs,158,641,573,155,17,72,72,9,0.271,664023
Mookie Betts,Dodgers,142,639,572,154,35,117,82,12,0.269,605141
Steven Kwan,Guardians,147,638,563,168,6,89,52,19,0.298,680757
C.J. Cron,Rockies,150,632,575,148,29,79,102,0,0.257,543068
Bobby Witt Jr.,Royals,150,632,591,150,20,82,80,30,0.254,677951
Xander Bogaerts,Sox,150,631,557,171,15,84,73,8,0.307,593428
Alec Bohm,Phillies,152,631,586,164,13,79,72,2,0.28,664761
Tommy Edman,Cardinals,153,630,577,153,13,95,57,32,0.265,669242
Eugenio Suárez,Mariners,150,629,543,128,31,76,87,0,0.236,553993
Tommy Pham,Sox,144,622,554,131,17,89,63,8,0.236,502054
Matt Chapman,Jays,155,621,538,123,27,83,76,2,0.229,656305
Nolan Arenado,Cardinals,148,620,557,163,30,73,103,5,0.293,571448
Willy Adames,Brewers,139,617,563,134,31,83,98,8,0.238,642715
César Hernández,Nationals,147,617,560,139,1,64,34,10,0.248,514917
Rafael Devers,Sox,141,614,555,164,27,84,88,3,0.295,646240
Bryan Reynolds,Pirates,145,614,542,142,27,74,62,7,0.262,668804
Ty France,Mariners,140,613,551,151,20,65,83,0,0.274,664034
Sean Murphy,Athletics,148,612,537,134,18,67,66,1,0.25,669221
Ryan Mountcastle,Orioles,145,609,555,139,22,62,85,4,0.25,663624
Kyle Tucker,Astros,150,609,544,140,30,71,107,25,0.257,663656
Jose Altuve,Astros,141,604,527,158,28,103,57,18,0.3,514888
Luis Arraez,Twins,144,603,547,173,8,88,49,4,0.316,650333
J.P. Crawford,Mariners,145,603,518,126,6,57,42,3,0.243,641487
Wilmer Flores,Giants,151,602,525,120,19,72,71,0,0.229,527038
Adam Frazier,Mariners,156,602,541,129,3,61,42,11,0.238,624428
Rowdy Tellez,Brewers,153,599,529,116,35,67,89,2,0.219,642133
Ryan McMahon,Rockies,153,597,529,130,20,67,67,7,0.246,641857
J.D. Martinez,Sox,139,596,533,146,16,76,62,0,0.274,502110
Myles Straw,Guardians,152,596,535,118,0,72,32,21,0.221,664702
Daulton Varsho,Diamondbacks,151,592,531,125,27,79,74,16,0.235,662139
Javier Báez,Tigers,144,590,555,132,17,64,67,9,0.238,595879
Carlos Correa,Twins,136,590,522,152,22,70,64,0,0.291,621043
Jeff McNeil,Mets,148,589,533,174,9,73,62,4,0.326,643446
Trey Mancini,Astros,143,587,519,124,18,56,63,0,0.239,641820
Yuli Gurriel,Astros,146,584,545,132,8,53,53,8,0.242,493329
Kyle Farmer,Reds,145,583,526,134,14,58,78,4,0.255,571657
George Springer,Jays,133,583,513,137,25,89,76,14,0.267,543807
Austin Hays,Orioles,145,582,535,134,16,66,60,2,0.25,669720
Ha-Seong Kim,Padres,150,582,517,130,11,58,59,12,0.251,673490
Brendan Rodgers,Rockies,137,581,527,140,13,72,63,0,0.266,663898
Andrew McCutchen,Brewers,134,580,515,122,17,66,69,8,0.237,457705
Will Smith,Dodgers,137,578,508,132,24,68,87,1,0.26,669257
Elvis Andrus,Sox,149,577,535,133,17,66,58,18,0.249,462101
Charlie Blackmon,Rockies,135,577,530,140,16,60,78,4,0.264,453568
Gleyber Torres,Yankees,140,572,526,135,24,73,76,10,0.257,650402
Brandon Drury,Padres,138,568,518,136,28,87,87,2,0.263,592273
Luke Voit,Nationals,135,568,500,113,22,55,69,1,0.226,572228
Max Muncy,Dodgers,136,565,464,91,21,69,69,2,0.196,571970
Taylor Ward,Angels,135,564,495,139,23,73,65,5,0.281,621493
J.T. Realmuto,Phillies,139,562,504,139,22,75,84,21,0.276,592663
Yordan Alvarez,Astros,135,561,470,144,37,95,97,1,0.306,670541
Ke'Bryan Hayes,Pirates,136,560,505,123,7,55,41,20,0.244,663647
Julio Rodríguez,Mariners,132,560,511,145,28,84,75,25,0.284,677594
Nick Castellanos,Phillies,136,558,524,138,13,56,62,7,0.263,592206
Yandy Díaz,Rays,137,558,473,140,9,71,57,3,0.296,650490
Tony Kemp,Athletics,147,558,497,117,7,61,46,11,0.235,643393
Ketel Marte,Diamondbacks,137,558,492,118,12,68,52,5,0.24,606466
Jeremy Peña,Astros,136,558,521,132,22,72,63,11,0.253,665161
Mike Yastrzemski,Giants,148,558,485,104,17,73,57,5,0.214,573262
Andrés Giménez,Guardians,146,557,491,146,17,66,69,20,0.297,665926
Seth Brown,Athletics,150,555,500,115,25,55,73,11,0.23,664913
Andrew Vaughn,Sox,134,555,510,138,17,60,76,0,0.271,683734
Gio Urshela,Twins,144,551,501,143,13,61,64,1,0.285,570482
Cody Bellinger,Dodgers,144,550,504,106,19,70,68,14,0.21,641355
Whit Merrifield,Jays,139,550,504,126,11,70,58,16,0.25,593160
Anthony Rizzo,Yankees,130,548,465,104,32,77,75,6,0.224,519203
Lane Thomas,Nationals,146,548,498,120,17,62,52,8,0.241,657041
Jesse Winker,Mariners,136,547,456,100,14,51,53,0,0.219,608385
Josh Donaldson,Yankees,132,546,478,106,15,59,62,2,0.222,518626
Mark Canha,Mets,140,542,462,123,13,71,61,3,0.266,592192
Eduardo Escobar,Mets,136,542,495,119,20,58,69,0,0.24,500871
Thairo Estrada,Giants,140,541,488,127,14,71,62,21,0.26,642731
Alejandro Kirk,Jays,139,541,470,134,14,59,63,0,0.285,672386
DJ LeMahieu,Yankees,125,541,467,122,12,74,46,4,0.261,518934
Randal Grichuk,Rockies,141,538,506,131,19,60,73,4,0.259,545341
Teoscar Hernández,Jays,131,535,499,133,25,71,77,6,0.267,606192
MJ Melendez,Royals,129,534,460,100,18,57,62,2,0.217,669004
Patrick Wisdom,Cubs,134,534,469,97,25,67,66,8,0.207,621550
Ronald Acuña Jr.,Braves,119,533,467,124,15,71,50,29,0.266,660670
Jorge Mateo,Orioles,150,533,494,109,13,63,50,35,0.221,622761
Justin Turner,Dodgers,128,532,468,130,13,61,81,3,0.278,457759
Isiah Kiner-Falefa,Yankees,142,531,483,126,4,66,48,22,0.261,643396
AJ Pollock,Sox,138,527,489,120,14,61,56,3,0.245,572041
Trent Grisham,Padres,152,524,451,83,17,58,53,7,0.184,663757
Hunter Renfroe,Brewers,125,522,474,121,29,62,72,1,0.255,592669
Andrew Benintendi,Yankees,126,521,461,140,5,54,51,8,0.304,643217
Nico Hoerner,Cubs,135,517,481,135,10,60,55,20,0.281,663538
Luis Rengifo,Angels,127,511,489,129,17,45,52,6,0.264,650859
Josh Rojas,Diamondbacks,125,510,443,119,9,66,56,23,0.269,668942
Jonathan Schoop,Tigers,131,510,481,97,11,48,38,5,0.202,570731
Jesús Aguilar,Orioles,129,507,464,109,16,39,51,1,0.235,542583
Nelson Cruz,Nationals,124,507,448,105,10,50,64,4,0.234,443558
Marcell Ozuna,Braves,124,507,470,106,23,56,56,2,0.226,542303
Miguel Rojas,Marlins,140,507,471,111,6,34,36,9,0.236,500743
Carlos Santana,Mariners,131,506,431,87,19,52,60,0,0.202,467793
Starling Marte,Mets,118,505,466,136,16,76,63,18,0.292,516782
Hunter Dozier,Royals,129,500,462,109,12,51,41,4,0.236,641531
Geraldo Perdomo,Diamondbacks,148,500,431,84,5,58,40,9,0.195,672695
Mike Trout,Angels,119,499,438,124,40,85,80,1,0.283,545361
Josh Naylor,Guardians,122,498,449,115,20,47,79,6,0.256,647304
Kolten Wong,Brewers,134,497,430,108,15,65,47,17,0.251,543939
Lourdes Gurriel Jr.,Jays,121,493,453,132,5,52,52,3,0.291,666971
Santiago Espinal,Jays,135,491,449,120,7,51,51,6,0.267,669289
David Peralta,Rays,134,490,439,110,12,39,59,1,0.251,444482
Dylan Carlson,Cardinals,128,488,432,102,8,56,42,5,0.236,666185
Willson Contreras,Cubs,113,487,416,101,22,65,55,4,0.243,575929
Jose Miranda,Twins,125,483,444,119,15,45,66,1,0.268,669304
Nicky Lopez,Royals,142,480,436,99,0,51,20,13,0.227,670032
Robbie Grossman,Braves,129,477,411,86,7,40,45,6,0.209,543257
Salvador Perez,Royals,114,473,445,113,23,48,76,0,0.254,521692
Franmil Reyes,Cubs,118,473,438,97,14,43,47,2,0.221,614177
Owen Miller,Guardians,130,472,424,103,6,53,51,2,0.243,680911
Rougned Odor,Orioles,135,472,426,88,13,49,53,6,0.207,596059
Luis Urías,Brewers,119,472,406,97,16,54,47,1,0.239,649966
Gavin Lux,Dodgers,129,471,421,116,6,66,42,7,0.276,666158
Gary Sánchez,Twins,128,471,419,86,16,42,61,2,0.205,596142
Adley Rutschman,Orioles,113,470,398,101,13,70,42,4,0.254,668939
Garrett Cooper,Marlins,119,469,414,108,9,37,50,0,0.261,643265
Brendan Donovan,Cardinals,126,468,391,110,5,64,45,2,0.281,680977
Jeimer Candelario,Tigers,124,467,429,93,13,49,50,0,0.217,600869
Jose Iglesias,Rockies,118,467,439,128,3,48,47,2,0.292,578428
Connor Joe,Rockies,111,467,404,96,7,56,28,6,0.238,656582
Bryson Stott,Phillies,127,466,427,100,10,58,49,12,0.234,681082
Taylor Walls,Rays,142,466,407,70,8,53,33,10,0.172,670764
Brandon Marsh,Phillies,134,461,424,104,11,49,52,10,0.245,669016
Daniel Vogelbach,Mets,130,461,386,92,18,47,59,0,0.238,596129
Brandon Crawford,Giants,118,458,407,94,9,50,52,1,0.231,543063
Michael A. Taylor,Royals,124,456,414,105,9,49,43,4,0.254,572191
Chris Taylor,Dodgers,118,454,402,89,10,45,43,10,0.221,621035
Jared Walsh,Angels,118,454,423,91,15,41,44,2,0.215,665120
Aaron Hicks,Yankees,130,453,384,83,8,54,40,10,0.216,543305
Giancarlo Stanton,Yankees,110,452,398,84,31,53,78,0,0.211,519317
Jonah Heim,Rangers,127,450,406,92,16,51,48,2,0.227,641680
Max Kepler,Twins,115,446,388,88,9,54,43,3,0.227,596146
Seiya Suzuki,Cubs,111,446,397,104,14,54,46,9,0.262,673548
Jorge Polanco,Twins,104,445,375,88,16,54,56,3,0.235,593871
Ramón Urías,Orioles,118,445,403,100,16,50,51,1,0.248,602104
Harold Castro,Tigers,120,443,420,114,7,37,47,0,0.271,605612
Nick Gordon,Twins,138,443,405,110,9,45,50,6,0.272,624503
Michael Harris II,Braves,114,441,414,123,19,75,64,20,0.297,671739
Harold Ramírez,Rays,120,435,403,121,6,46,58,3,0.3,623912
Miguel Cabrera,Tigers,112,433,397,101,5,25,43,1,0.254,408234
Yoán Moncada,Sox,104,433,397,84,12,41,51,2,0.212,660162
Joc Pederson,Giants,134,433,380,104,23,57,70,3,0.274,592626
Keibert Ruiz,Nationals,112,433,394,99,7,33,36,6,0.251,660688
Raimel Tapia,Jays,128,433,411,109,7,47,52,8,0.265,606132
Jonathan India,Reds,103,431,386,96,10,48,41,3,0.249,663697
Michael Chavis,Pirates,129,426,401,92,14,39,49,1,0.229,656308
Bryce Harper,Phillies,99,426,370,106,18,63,65,11,0.286,547180
Christian Vázquez,Astros,119,426,398,109,9,41,52,1,0.274,543877
Travis d'Arnaud,Braves,107,426,396,106,18,61,60,0,0.268,518595
Josh Harrison,Sox,119,425,386,99,7,50,27,2,0.256,543281
Christopher Morel,Cubs,113,425,379,89,16,55,47,10,0.235,666624
Kole Calhoun,Rangers,125,424,388,76,12,36,49,3,0.196,594777
Ben Gamel,Pirates,115,423,371,86,9,42,46,5,0.232,592325
Nick Senzel,Reds,110,420,373,86,5,45,25,8,0.231,669222
Ji Man Choi,Rays,113,419,356,83,11,36,52,0,0.233,596847
Eric Hosmer,Sox,104,419,380,102,8,38,44,0,0.268,543333
Riley Greene,Tigers,93,418,376,95,5,46,42,1,0.253,682985
Cal Raleigh,Mariners,119,415,370,78,27,46,63,1,0.211,663728
Alek Thomas,Diamondbacks,113,411,381,88,8,45,39,4,0.231,677950
Joey Gallo,Dodgers,126,410,350,56,19,48,47,3,0.16,608336
Gavin Sheets,Sox,124,410,377,91,15,34,53,0,0.241,657757
Yonathan Daza,Rockies,113,408,372,112,2,56,34,0,0.301,602074
Chas McCormick,Astros,119,407,359,88,14,47,44,4,0.245,676801
Victor Robles,Nationals,132,407,366,82,6,42,33,15,0.224,645302
Tyrone Taylor,Brewers,120,405,373,87,17,49,51,3,0.233,621438
Jon Berti,Marlins,102,404,358,86,4,47,28,41,0.24,542932
Spencer Torkelson,Tigers,110,404,360,73,8,38,28,0,0.203,679529
Enrique Hernández,Sox,93,402,361,80,6,48,45,0,0.222,571771
Luis Robert Jr.,Sox,98,401,380,108,12,54,56,11,0.284,673357
Austin Nola,Padres,110,397,347,87,4,40,40,2,0.251,543592
Trevor Story,Sox,94,396,357,85,16,53,66,13,0.238,596115
Willi Castro,Tigers,112,392,365,88,8,47,31,9,0.241,650489
Maikel Franco,Nationals,103,388,371,85,9,31,39,1,0.229,596748
Darin Ruf,Mets,119,388,334,68,11,52,45,2,0.204,573131
Jean Segura,Phillies,98,387,354,98,10,45,33,13,0.277,516416
Jacob Stallings,Marlins,114,384,346,77,4,25,34,0,0.223,607732
Brian Anderson,Marlins,98,383,338,75,8,43,28,1,0.222,605119
Ramón Laureano,Athletics,94,383,346,73,13,49,34,11,0.211,657656
Tyler O'Neill,Cardinals,96,383,334,76,14,56,58,14,0.228,641933
Byron Buxton,Twins,92,382,340,76,28,61,51,6,0.224,621439
Oscar Gonzalez,Guardians,91,382,362,107,11,39,43,1,0.296,660757
Elias Díaz,Rockies,105,381,351,80,9,29,51,0,0.228,553869
Isaac Paredes,Rays,111,381,331,68,20,48,45,0,0.205,670623
Avisaíl García,Marlins,98,380,357,80,8,31,35,4,0.224,541645
Martín Maldonado,Astros,113,379,344,64,15,40,45,0,0.186,455117
Chad Pinder,Athletics,111,379,361,85,12,38,42,2,0.235,640461
Luis García Jr.,Nationals,93,377,360,99,7,29,45,3,0.275,671277
William Contreras,Braves,97,376,334,93,20,51,45,2,0.278,661388
Yasmani Grandal,Sox,99,376,327,66,5,15,27,1,0.202,518735
Joey Votto,Reds,91,376,322,66,11,31,41,0,0.205,458015
Max Stassi,Angels,102,375,333,60,9,32,30,0,0.18,545358
Jack Suwinski,Pirates,106,372,326,66,19,45,38,4,0.202,669261
Rafael Ortega,Cubs,118,371,316,76,7,35,35,12,0.241,542364
Joey Wendle,Marlins,101,371,347,90,3,27,32,12,0.259,621563
Jackie Bradley Jr.,Jays,132,370,344,70,4,30,38,2,0.203,598265
J.D. Davis,Giants,115,365,318,79,12,46,35,1,0.248,605204
Manuel Margot,Rays,89,363,336,92,4,36,47,7,0.274,622534
Oneil Cruz,Pirates,87,361,331,77,17,45,54,10,0.233,665833
Emmanuel Rivera,Diamondbacks,102,359,330,77,12,46,40,1,0.233,656896
Matt Vierling,Phillies,117,357,325,80,6,41,32,7,0.246,663837
Bryan De La Cruz,Marlins,115,355,329,83,13,38,43,4,0.252,650559
Carson Kelly,Diamondbacks,104,354,317,67,7,40,35,2,0.211,608348
Jake McCarthy,Diamondbacks,99,354,321,91,8,53,43,23,0.283,664983
Bobby Dalbec,Sox,117,353,317,68,12,40,39,3,0.215,666915
Jose Trevino,Yankees,115,353,335,83,11,39,43,2,0.248,624431
Abraham Toro,Mariners,109,352,324,60,10,36,35,2,0.185,647351
Tim Anderson,Sox,79,351,332,100,6,50,25,13,0.301,641313
Eric Haase,Tigers,110,351,323,82,14,41,44,0,0.254,606992
Albert Pujols,Cardinals,109,351,307,83,24,42,68,1,0.27,405395
Luis González,Giants,98,350,311,78,4,31,36,10,0.251,670768
Andrew Velazquez,Angels,125,349,322,63,9,37,28,17,0.196,623205
Gilberto Celestino,Twins,122,347,311,74,2,30,24,4,0.238,665482
Lars Nootbaar,Cardinals,108,347,290,66,14,53,40,4,0.228,663457
Wander Franco,Rays,83,344,314,87,6,46,33,8,0.277,677551
Jesús Sánchez,Marlins,98,343,313,67,13,38,36,1,0.214,660821
Leody Taveras,Rangers,99,341,314,82,5,39,34,11,0.261,665750
Austin Hedges,Guardians,105,338,294,48,7,26,30,2,0.163,595978
Victor Reyes,Tigers,92,336,315,80,3,27,34,2,0.254,622682
Luis Guillorme,Mets,102,335,297,81,2,33,17,1,0.273,641645
Tyler Naquin,Mets,105,334,310,71,11,47,46,4,0.229,571980
Christian Bethancourt,Rays,101,333,318,80,11,39,34,5,0.252,542194
Jace Peterson,Brewers,113,328,288,68,8,44,34,12,0.236,607054
Aledmys Díaz,Astros,92,327,305,74,12,35,38,1,0.243,649557
Yadiel Hernandez,Nationals,94,327,305,82,9,30,41,2,0.269,628450
Eloy Jiménez,Sox,84,327,292,86,16,40,54,0,0.295,650391
Nick Allen,Athletics,100,326,299,62,4,31,19,3,0.207,669397
Jose Siri,Rays,104,325,301,64,7,53,24,14,0.213,642350
Austin Slater,Giants,125,325,277,73,7,49,34,12,0.264,596103
