checkpoint,model,target,stat,mae,n_players
2025-07-01,fixed_blend,ros,r_per_pa,0.019655,128
2025-07-01,fixed_blend,ros,rbi_per_pa,0.02314,128
2025-07-01,fixed_blend,ros,sb_per_pa,0.010716,128
2025-07-01,fixed_blend,ros,avg,0.028377,128
2025-07-01,fixed_blend,next_week,k_per_ip,0.292905,53
2025-07-01,fixed_blend,next_week,era,2.135852,53
2025-07-01,fixed_blend,next_week,whip,0.36283,53
2025-07-01,fixed_blend,next_week,w_per_gs,0.355758,53
2025-07-01,fixed_blend,next_week,sv_per_g,0.054807,53
2025-07-01,reliability_blend,ros,k_per_ip,0.103606,72
2025-07-01,reliability_blend,ros,era,1.035778,72
2025-07-01,reliability_blend,ros,whip,0.192339,72
2025-07-01,reliability_blend,ros,w_per_gs,0.142561,72
2025-07-01,reliability_blend,ros,sv_per_g,0.037454,72
2025-07-01,reliability_blend,next_week,hr_per_pa,0.030971,114
2025-07-01,reliability_blend,next_week,r_per_pa,0.058437,114
2025-07-01,reliability_blend,next_week,rbi_per_pa,0.077925,114
2025-07-01,reliability_blend,next_week,sb_per_pa,0.019686,114
2025-07-01,reliability_blend,next_week,avg,0.078257,114
2025-07-01,reliability_blend,ros,hr_per_pa,0.010552,128
2025-07-01,reliability_blend,ros,r_per_pa,0.019798,128
2025-07-01,reliability_blend,ros,rbi_per_pa,0.023511,128
2025-07-01,reliability_blend,ros,sb_per_pa,0.010067,128
2025-07-01,reliability_blend,ros,avg,0.0261,128
2025-07-01,reliability_blend,next_week,k_per_ip,0.301962,53
2025-07-01,reliability_blend,next_week,era,2.081933,53
2025-07-01,reliability_blend,next_week,whip,0.36906,53
2025-07-01,reliability_blend,next_week,w_per_gs,0.35795,53
2025-07-01,reliability_blend,next_week,sv_per_g,0.054541,53
2025-07-01,exponential_decay,ros,k_per_ip,0.13275,72
2025-07-01,exponential_decay,ros,era,1.254127,72
2025-07-01,exponential_decay,ros,whip,0.240891,72
2025-07-01,exponential_decay,ros,w_per_gs,0.158812,72
2025-07-01,exponential_decay,ros,sv_per_g,0.038771,72
2025-07-01,exponential_decay,next_week,hr_per_pa,0.032452,114
2025-07-01,exponential_decay,next_week,r_per_pa,0.058932,114
2025-07-01,exponential_decay,next_week,rbi_per_pa,0.079036,114
2025-07-01,exponential_decay,next_week,sb_per_pa,0.018939,114
2025-07-01,exponential_decay,next_week,avg,0.081788,114
2025-07-01,exponential_decay,ros,hr_per_pa,0.014029,128
2025-07-01,exponential_decay,ros,r_per_pa,0.023833,128
2025-07-01,exponential_decay,ros,rbi_per_pa,0.030381,128
2025-07-01,exponential_decay,ros,sb_per_pa,0.011511,128
2025-07-01,exponential_decay,ros,avg,0.033157,128
2025-07-01,exponential_decay,next_week,k_per_ip,0.293557,53
2025-07-01,exponential_decay,next_week,era,2.156016,53
2025-07-01,exponential_decay,next_week,whip,0.388428,53
2025-07-01,exponential_decay,next_week,w_per_gs,0.350364,53
2025-07-01,exponential_decay,next_week,sv_per_g,0.055432,53
2025-08-01,preseason,next_week,k_per_ip,0.309901,58
2025-08-01,preseason,next_week,era,2.677746,58
2025-08-01,preseason,next_week,whip,0.514925,58
2025-08-01,preseason,next_week,w_per_gs,0.45195,58
2025-08-01,preseason,next_week,sv_per_g,0.031546,58
2025-08-01,preseason,ros,k_per_ip,0.143979,66
2025-08-01,preseason,ros,era,1.180202,66
2025-08-01,preseason,ros,whip,0.204163,66
2025-08-01,preseason,ros,w_per_gs,0.132412,66
2025-08-01,preseason,ros,sv_per_g,0.039714,66
2025-08-01,preseason,next_week,hr_per_pa,0.03162,107
2025-08-01,preseason,next_week,r_per_pa,0.052918,107
2025-08-01,preseason,next_week,rbi_per_pa,0.073674,107
2025-08-01,preseason,next_week,sb_per_pa,0.024685,107
2025-08-01,preseason,next_week,avg,0.073011,107
2025-08-01,preseason,ros,hr_per_pa,0.011853,123
2025-08-01,preseason,ros,r_per_pa,0.020551,123
2025-08-01,preseason,ros,rbi_per_pa,0.027203,123
2025-08-01,preseason,ros,sb_per_pa,0.013701,123
2025-08-01,preseason,ros,avg,0.03123,123
2025-08-01,season_to_date,next_week,k_per_ip,0.325173,58
2025-08-01,season_to_date,next_week,era,2.656512,58
2025-08-01,season_to_date,next_week,whip,0.527323,58
2025-08-01,season_to_date,next_week,w_per_gs,0.411025,58
2025-08-01,season_to_date,next_week,sv_per_g,0.028449,58
2025-08-01,season_to_date,ros,k_per_ip,0.152065,66
2025-08-01,season_to_date,ros,era,1.157909,66
2025-08-01,season_to_date,ros,whip,0.219741,66
2025-08-01,season_to_date,ros,w_per_gs,0.147974,66
2025-08-01,season_to_date,ros,sv_per_g,0.044389,66
2025-08-01,season_to_date,next_week,hr_per_pa,0.033376,107
2025-08-01,season_to_date,next_week,r_per_pa,0.053954,107
2025-08-01,season_to_date,next_week,rbi_per_pa,0.071921,107
2025-08-01,season_to_date,next_week,sb_per_pa,0.024215,107
2025-08-01,season_to_date,next_week,avg,0.074863,107
2025-08-01,season_to_date,ros,hr_per_pa,0.013318,123
2025-08-01,season_to_date,ros,r_per_pa,0.024797,123
2025-08-01,season_to_date,ros,rbi_per_pa,0.030871,123
2025-08-01,season_to_date,ros,sb_per_pa,0.013016,123
2025-08-01,season_to_date,ros,avg,0.0364,123
2025-08-01,fixed_blend,next_week,k_per_ip,0.314094,58
2025-08-01,fixed_blend,next_week,era,2.670823,58
2025-08-01,fixed_blend,next_week,whip,0.511789,58
2025-08-01,fixed_blend,next_week,w_per_gs,0.429722,58
2025-08-01,fixed_blend,next_week,sv_per_g,0.029079,58
2025-08-01,fixed_blend,ros,k_per_ip,0.139552,66
2025-08-01,fixed_blend,ros,era,1.103064,66
2025-08-01,fixed_blend,ros,whip,0.187549,66
2025-08-01,fixed_blend,ros,w_per_gs,0.124193,66
2025-08-01,fixed_blend,ros,sv_per_g,0.042701,66
2025-08-01,fixed_blend,next_week,hr_per_pa,0.031219,107
2025-08-01,fixed_blend,next_week,r_per_pa,0.050121,107
2025-08-01,fixed_blend,next_week,rbi_per_pa,0.072706,107
2025-08-01,fixed_blend,next_week,sb_per_pa,0.024285,107
2025-08-01,fixed_blend,next_week,avg,0.073319,107
2025-08-01,fixed_blend,ros,hr_per_pa,0.011994,123
2025-08-01,fixed_blend,ros,r_per_pa,0.022832,123
2025-08-01,fixed_blend,ros,rbi_per_pa,0.029926,123
2025-08-01,fixed_blend,ros,sb_per_pa,0.012617,123
2025-08-01,fixed_blend,ros,avg,0.035005,123
2025-08-01,reliability_blend,next_week,k_per_ip,0.304612,58
2025-08-01,reliability_blend,next_week,era,2.641486,58
2025-08-01,reliability_blend,next_week,whip,0.509093,58
2025-08-01,reliability_blend,next_week,w_per_gs,0.446969,58
2025-08-01,reliability_blend,next_week,sv_per_g,0.030557,58
2025-08-01,reliability_blend,ros,k_per_ip,0.13194,66
2025-08-01,reliability_blend,ros,era,1.101598,66
2025-08-01,reliability_blend,ros,whip,0.199476,66
2025-08-01,reliability_blend,ros,w_per_gs,0.132267,66
2025-08-01,reliability_blend,ros,sv_per_g,0.04054,66
2025-08-01,reliability_blend,next_week,hr_per_pa,0.032462,107
2025-08-01,reliability_blend,next_week,r_per_pa,0.052969,107
2025-08-01,reliability_blend,next_week,rbi_per_pa,0.07194,107
2025-08-01,reliability_blend,next_week,sb_per_pa,0.02431,107
2025-08-01,reliability_blend,next_week,avg,0.073495,107
2025-08-01,reliability_blend,ros,hr_per_pa,0.011578,123
2025-08-01,reliability_blend,ros,r_per_pa,0.020817,123
2025-08-01,reliability_blend,ros,rbi_per_pa,0.027649,123
2025-08-01,reliability_blend,ros,sb_per_pa,0.012605,123
2025-08-01,reliability_blend,ros,avg,0.032217,123
2025-08-01,exponential_decay,next_week,k_per_ip,0.309494,58
2025-08-01,exponential_decay,next_week,era,2.762181,58
2025-08-01,exponential_decay,next_week,whip,0.502646,58
2025-08-01,exponential_decay,next_week,w_per_gs,0.445455,58
2025-08-01,exponential_decay,next_week,sv_per_g,0.031126,58
2025-08-01,exponential_decay,ros,k_per_ip,0.169492,66
2025-08-01,exponential_decay,ros,era,1.146506,66
2025-08-01,exponential_decay,ros,whip,0.213993,66
2025-08-01,exponential_decay,ros,w_per_gs,0.134359,66
2025-08-01,exponential_decay,ros,sv_per_g,0.041674,66
2025-08-01,exponential_decay,next_week,hr_per_pa,0.031381,107
2025-08-01,exponential_decay,next_week,r_per_pa,0.052643,107
2025-08-01,exponential_decay,next_week,rbi_per_pa,0.072801,107
2025-08-01,exponential_decay,next_week,sb_per_pa,0.023721,107
2025-08-01,exponential_decay,next_week,avg,0.076189,107
2025-08-01,exponential_decay,ros,hr_per_pa,0.015946,123
2025-08-01,exponential_decay,ros,r_per_pa,0.029187,123
2025-08-01,exponential_decay,ros,rbi_per_pa,0.035745,123
2025-08-01,exponential_decay,ros,sb_per_pa,0.013306,123
2025-08-01,exponential_decay,ros,avg,0.042458,123
2025-09-01,preseason,next_week,k_per_ip,0.339288,50
2025-09-01,preseason,next_week,era,2.65781,50
2025-09-01,preseason,next_week,whip,0.389283,50
2025-09-01,preseason,next_week,w_per_gs,0.393403,50
2025-09-01,preseason,next_week,sv_per_g,0.020894,50
2025-09-01,preseason,next_week,hr_per_pa,0.029114,106
2025-09-01,preseason,next_week,r_per_pa,0.05789,106
2025-09-01,preseason,next_week,rbi_per_pa,0.07231,106
2025-09-01,preseason,next_week,sb_per_pa,0.028178,106
2025-09-01,preseason,next_week,avg,0.088266,106
2025-09-01,preseason,ros,hr_per_pa,0.014992,104
2025-09-01,preseason,ros,r_per_pa,0.029405,104
2025-09-01,preseason,ros,rbi_per_pa,0.033239,104
2025-09-01,preseason,ros,sb_per_pa,0.016601,104
2025-09-01,preseason,ros,avg,0.040772,104
2025-09-01,preseason,ros,k_per_ip,0.160864,42
2025-09-01,preseason,ros,era,1.178831,42
2025-09-01,preseason,ros,whip,0.197665,42
2025-09-01,preseason,ros,w_per_gs,0.196738,42
2025-09-01,preseason,ros,sv_per_g,0.0,42
2025-09-01,season_to_date,next_week,k_per_ip,0.321545,50
2025-09-01,season_to_date,next_week,era,2.488793,50
2025-09-01,season_to_date,next_week,whip,0.356082,50
2025-09-01,season_to_date,next_week,w_per_gs,0.380827,50
2025-09-01,season_to_date,next_week,sv_per_g,0.02632,50
2025-09-01,season_to_date,next_week,hr_per_pa,0.029924,106
2025-09-01,season_to_date,next_week,r_per_pa,0.056854,106
2025-09-01,season_to_date,next_week,rbi_per_pa,0.072667,106
2025-09-01,season_to_date,next_week,sb_per_pa,0.027292,106
2025-09-01,season_to_date,next_week,avg,0.087527,106
2025-09-01,season_to_date,ros,hr_per_pa,0.015738,104
2025-09-01,season_to_date,ros,r_per_pa,0.030571,104
2025-09-01,season_to_date,ros,rbi_per_pa,0.035029,104
2025-09-01,season_to_date,ros,sb_per_pa,0.014651,104
2025-09-01,season_to_date,ros,avg,0.040699,104
2025-09-01,season_to_date,ros,k_per_ip,0.139686,42
2025-09-01,season_to_date,ros,era,1.159702,42
2025-09-01,season_to_date,ros,whip,0.209804,42
2025-09-01,season_to_date,ros,w_per_gs,0.218814,42
2025-09-01,season_to_date,ros,sv_per_g,0.0,42
2025-09-01,fixed_blend,next_week,k_per_ip,0.329939,50
2025-09-01,fixed_blend,next_week,era,2.521523,50
2025-09-01,fixed_blend,next_week,whip,0.390912,50
2025-09-01,fixed_blend,next_week,w_per_gs,0.389414,50
2025-09-01,fixed_blend,next_week,sv_per_g,0.019254,50
2025-09-01,fixed_blend,next_week,hr_per_pa,0.0287,106
2025-09-01,fixed_blend,next_week,r_per_pa,0.057038,106
2025-09-01,fixed_blend,next_week,rbi_per_pa,0.072536,106
2025-09-01,fixed_blend,next_week,sb_per_pa,0.02648,106
2025-09-01,fixed_blend,next_week,avg,0.087785,106
2025-09-01,fixed_blend,ros,hr_per_pa,0.015916,104
2025-09-01,fixed_blend,ros,r_per_pa,0.031647,104
2025-09-01,fixed_blend,ros,rbi_per_pa,0.034632,104
2025-09-01,fixed_blend,ros,sb_per_pa,0.014742,104
2025-09-01,fixed_blend,ros,avg,0.041338,104
2025-09-01,fixed_blend,ros,k_per_ip,0.13771,42
2025-09-01,fixed_blend,ros,era,1.21234,42
2025-09-01,fixed_blend,ros,whip,0.194735,42
2025-09-01,fixed_blend,ros,w_per_gs,0.202234,42
2025-09-01,fixed_blend,ros,sv_per_g,0.0,42
2025-09-01,reliability_blend,next_week,k_per_ip,0.324121,50
2025-09-01,reliability_blend,next_week,era,2.549599,50
2025-09-01,reliability_blend,next_week,whip,0.363711,50
2025-09-01,reliability_blend,next_week,w_per_gs,0.390879,50
2025-09-01,reliability_blend,next_week,sv_per_g,0.022065,50
2025-09-01,reliability_blend,next_week,hr_per_pa,0.029537,106
2025-09-01,reliability_blend,next_week,r_per_pa,0.056185,106
2025-09-01,reliability_blend,next_week,rbi_per_pa,0.072481,106
2025-09-01,reliability_blend,next_week,sb_per_pa,0.02734,106
2025-09-01,reliability_blend,next_week,avg,0.08762,106
2025-09-01,reliability_blend,ros,hr_per_pa,0.014778,104
2025-09-01,reliability_blend,ros,r_per_pa,0.028617,104
2025-09-01,reliability_blend,ros,rbi_per_pa,0.033202,104
2025-09-01,reliability_blend,ros,sb_per_pa,0.014954,104
2025-09-01,reliability_blend,ros,avg,0.039736,104
2025-09-01,reliability_blend,ros,k_per_ip,0.136301,42
2025-09-01,reliability_blend,ros,era,1.08627,42
2025-09-01,reliability_blend,ros,whip,0.197096,42
2025-09-01,reliability_blend,ros,w_per_gs,0.201541,42
2025-09-01,reliability_blend,ros,sv_per_g,0.0,42
2025-09-01,exponential_decay,next_week,k_per_ip,0.329718,50
2025-09-01,exponential_decay,next_week,era,2.467871,50
2025-09-01,exponential_decay,next_week,whip,0.400827,50
2025-09-01,exponential_decay,next_week,w_per_gs,0.39549,50
2025-09-01,exponential_decay,next_week,sv_per_g,0.020931,50
2025-09-01,exponential_decay,next_week,hr_per_pa,0.030302,106
2025-09-01,exponential_decay,next_week,r_per_pa,0.058639,106
2025-09-01,exponential_decay,next_week,rbi_per_pa,0.074785,106
2025-09-01,exponential_decay,next_week,sb_per_pa,0.024398,106
2025-09-01,exponential_decay,next_week,avg,0.089502,106
2025-09-01,exponential_decay,ros,hr_per_pa,0.020504,104
2025-09-01,exponential_decay,ros,r_per_pa,0.03647,104
2025-09-01,exponential_decay,ros,rbi_per_pa,0.041903,104
2025-09-01,exponential_decay,ros,sb_per_pa,0.014629,104
2025-09-01,exponential_decay,ros,avg,0.04861,104
2025-09-01,exponential_decay,ros,k_per_ip,0.14184,42
2025-09-01,exponential_decay,ros,era,1.324563,42
2025-09-01,exponential_decay,ros,whip,0.214557,42
2025-09-01,exponential_decay,ros,w_per_gs,0.211604,42
2025-09-01,exponential_decay,ros,sv_per_g,0.0,42
